source_id,title,status,text_path,characters,wpl,bristol,weca,obc,fbc,clean_air_zone,demand_management,secretary_of_state,confirmation,net_proceeds,variation,revocation,rpi,consultation,boundary,licensing,enforcement,parking_inventory
SRC-BCC-0029,Part 3.2 - Terms of Reference of Committees,downloaded,evidence/processed/text/SRC-BCC-0029.txt,73382,0,12,18,0,0,0,0,2,1,0,3,2,0,6,1,50,18,0
SRC-BCC-0030,Part 3.4 - Delegations to Officers,downloaded,evidence/processed/text/SRC-BCC-0030.txt,28545,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,4,2,0
SRC-BCC-0031,Officer Scheme of Delegation - Growth and Regeneration,downloaded,evidence/processed/text/SRC-BCC-0031.txt,88705,0,24,0,0,0,2,0,1,1,0,6,2,0,16,2,39,77,2
SRC-BCC-0032,Part 2 - Articles of the Constitution,downloaded,evidence/processed/text/SRC-BCC-0032.txt,34963,0,5,0,0,0,0,0,1,0,0,0,0,0,9,1,2,1,0
SRC-BCC-0033,Part 3.1 - Full Council Functions,downloaded,evidence/processed/text/SRC-BCC-0033.txt,3886,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
SRC-BCC-0034,Part 4.2 - Access to Information Procedure Rules,downloaded,evidence/processed/text/SRC-BCC-0034.txt,16465,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,3,0,0
SRC-BCC-0035,Decision notice - Transport and Connectivity Policy Committee 15 May 2025,downloaded,evidence/processed/text/SRC-BCC-0035.txt,13615,1,16,14,3,13,0,0,0,0,0,2,0,0,10,0,0,0,0
SRC-BCC-0036,Printed minutes - Transport and Connectivity Policy Committee 15 May 2025,downloaded,evidence/processed/text/SRC-BCC-0036.txt,33283,2,38,27,8,19,1,0,0,10,0,2,0,0,19,0,0,1,1
SRC-DFT-0001,Transport business case guidance,downloaded,evidence/processed/text/SRC-DFT-0001.txt,64335,0,0,0,26,22,0,0,0,8,0,1,0,0,10,0,5,0,0
SRC-DFT-0002,Transport analysis guidance,downloaded,evidence/processed/text/SRC-DFT-0002.txt,18353,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
SRC-HMT-0001,The Green Book 2026,downloaded,evidence/processed/text/SRC-HMT-0001.txt,192598,0,0,1,3,4,0,0,0,1,0,11,0,0,12,0,6,0,0
SRC-HMT-0002,The Magenta Book,downloaded,evidence/processed/text/SRC-HMT-0002.txt,9425,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
SRC-HMT-0003,Managing Public Money,downloaded,evidence/processed/text/SRC-HMT-0003.txt,6483,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
SRC-HMT-0004,The Aqua Book,downloaded,evidence/processed/text/SRC-HMT-0004.txt,94707,0,0,0,0,0,0,0,0,15,0,5,0,0,6,3,1,0,0
SRC-LEG-0001,Transport Act 2000 explanatory notes - road user charging and workplace parking levy,downloaded,evidence/processed/text/SRC-LEG-0001.txt,9758,4,0,0,0,0,0,0,3,0,0,1,0,0,1,0,22,3,4
SRC-LEG-0002,Transport Act 2000 current contents,downloaded,evidence/processed/text/SRC-LEG-0002.txt,89080,5,0,0,0,0,0,0,30,4,3,29,16,0,40,0,69,84,2
SRC-LEG-0003,Transport Act 2000 section 184 confirmation,downloaded,evidence/processed/text/SRC-LEG-0003.txt,14325,1,0,0,0,0,0,0,4,12,0,5,2,0,0,0,9,0,0
SRC-LEG-0004,Transport Act 2000 Schedule 12 net proceeds,downloaded,evidence/processed/text/SRC-LEG-0004.txt,45208,1,0,9,0,0,0,0,9,0,29,2,2,0,1,0,6,0,0
SRC-LEG-0005,Workplace Parking Levy (England) Regulations 2009,downloaded,evidence/processed/text/SRC-LEG-0005.txt,7698,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0
SRC-LEG-0006,Road User Charging and Workplace Parking Levy (Net Proceeds) (England) Regulations 2003,downloaded,evidence/processed/text/SRC-LEG-0006.txt,5750,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
SRC-LEG-0007,Road User Charging and WPL Classes of Motor Vehicles Regulations 2001,downloaded,evidence/processed/text/SRC-LEG-0007.txt,7050,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SRC-LEG-0008,Road Traffic Regulation Act 1984 section 121A,downloaded,evidence/processed/text/SRC-LEG-0008.txt,13667,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
SRC-LEG-0009,West of England Combined Authority Order 2017,downloaded,evidence/processed/text/SRC-LEG-0009.txt,9797,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SRC-LEG-0010,SI 2026/519 regulation 29,downloaded,evidence/processed/text/SRC-LEG-0010.txt,9112,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
SRC-LEG-0011,Workplace Parking Levy (England) Regulations 2009 whole instrument,downloaded,evidence/processed/text/SRC-LEG-0011.txt,22791,5,0,0,0,0,0,1,4,3,0,0,0,2,0,0,65,14,9
SRC-LEG-0012,Road User Charging and WPL Net Proceeds Regulations 2003 whole instrument,downloaded,evidence/processed/text/SRC-LEG-0012.txt,10817,5,0,0,0,0,0,0,3,0,8,0,0,0,0,0,5,0,0
SRC-LEG-0013,Road User Charging and WPL Classes of Motor Vehicles Regulations 2001 whole instrument,downloaded,evidence/processed/text/SRC-LEG-0013.txt,17243,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0
SRC-LEG-0014,English Devolution and Community Empowerment Act 2026 consequential regulations whole instrument,downloaded,evidence/processed/text/SRC-LEG-0014.txt,59638,0,0,118,0,0,0,0,10,0,0,0,34,0,0,0,1,6,0
SRC-LEG-0015,English Devolution and Community Empowerment Act 2026 Schedule 9,downloaded,evidence/processed/text/SRC-LEG-0015.txt,11944,0,0,8,0,0,0,0,7,0,0,0,3,0,0,0,1,0,0
SRC-LEG-0016,English Devolution and Community Empowerment Act 2026 section 2,downloaded,evidence/processed/text/SRC-LEG-0016.txt,7454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SRC-LEG-0017,Transport Act 2000 section 178 workplace parking levy licensing schemes,downloaded,evidence/processed/text/SRC-LEG-0017.txt,14672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4
SRC-LEG-0018,Transport Act 2000 section 179 licensing schemes made by local traffic authorities,downloaded,evidence/processed/text/SRC-LEG-0018.txt,13339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
SRC-LEG-0019,Transport Act 2000 section 180 persons liable to charges,downloaded,evidence/processed/text/SRC-LEG-0019.txt,13370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
SRC-LEG-0020,Transport Act 2000 section 198 interpretation of local transport policies,downloaded,evidence/processed/text/SRC-LEG-0020.txt,18922,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,16,1,1
SRC-LEG-0021,Transport Act 2000 section 108 local transport plans,downloaded,evidence/processed/text/SRC-LEG-0021.txt,24352,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
SRC-LEG-0022,West of England Combined Authority Order 2017 article 7 current revised text,downloaded,evidence/processed/text/SRC-LEG-0022.txt,8418,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SRC-LEG-0023,West of England Combined Authority Order 2017 article 8 current revised text,downloaded,evidence/processed/text/SRC-LEG-0023.txt,8415,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SRC-NOTT-0001,Workplace Parking Levy annual report 2023-2024,downloaded,evidence/processed/text/SRC-NOTT-0001.txt,63479,17,0,0,0,0,0,0,0,1,0,1,2,0,2,2,8,70,28
SRC-NOTT-0002,A decade of inspiring growth in our city - WPL report,downloaded,evidence/processed/text/SRC-NOTT-0002.txt,18882,24,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SRC-TFL-0001,Workplace Parking Levy FAQs,downloaded,evidence/processed/text/SRC-TFL-0001.txt,27060,125,2,0,0,0,0,3,3,0,1,2,1,1,8,1,19,10,9
